DW A040FC00 128
A040FC00:	8040ADCC	00000000	80405BAC	80406444
A040FC10:	804065DC	80405CB4	80406614	00000000
A040FC20:	00000000	00000000	00000000	00000000
A040FC30:	00000000	00000000	00000000	00000000
A040FC40:	00000000	00000000	00000000	00000000
A040FC50:	00000000	00000000	00000000	00000000
A040FC60:	00000000	00000000	00000000	00000003
A040FC70:	A040FDD9	A040FDF0	A040FE09	A040FE23
A040FC80:	00000000	00000003	A040FCE8	A040FD00
A040FC90:	A040FD18	A040FD32	00000000	00000002
A040FCA0:	A040FD48	A040FD62	00000000	00000002
A040FCB0:	A040FD78	A040FD92	00000000	00000002
A040FCC0:	A040FDA8	A040FDC2	00000000	00000003
A040FCD0:	A040FF31	A040FF48	A040FF61	A040FF7B
A040FCE0:	00000000	0000002B	A040FE40	00400000
A040FCF0:	00000000	8800003F	00000000	00000000
A040FD00:	A040FE58	00400000	00000000	8800003F
A040FD10:	00000000	00000000	A040FE70	00400000
A040FD20:	00000000	8800003F	00000000	00000000
A040FD30:	A040FE88	00400000	00000000	8800003F
A040FD40:	00000000	00000000	A040FEA0	00000000
A040FD50:	00000000	88000000	00000000	00000000
A040FD60:	A040FEB8	00000000	00000000	88000000
A040FD70:	00000000	00000000	A040FED0	00000000
A040FD80:	00000000	88000000	00000000	00000000
A040FD90:	A040FEE8	00000000	00000000	88000000
A040FDA0:	00000000	00000000	A040FF00	00000000
A040FDB0:	00000000	88000000	00000000	00000000
A040FDC0:	A040FF18	00000000	00000000	88000000
A040FDD0:	00000000	00000000	A040FF30	02320819
A040FDE0:	C0000000	80E30003	20080000	00000000
A040FDF0:	A040FF48	00400819	C0000000	80E30003
<RealTek>
