busybox telnetd -p 9999 ; sleep 2 ; busybox ps
  PID USER       VSZ STAT COMMAND
    1 0          828 R    /bin/sh 
    2 0            0 SW<  [kthreadd]
    3 0            0 SW<  [ksoftirqd/0]
    4 0            0 SW<  [events/0]
    5 0            0 SW<  [khelper]
    6 0            0 SW<  [async/mgr]
    7 0            0 SW<  [kblockd/0]
    8 0            0 SW   [pdflush]
    9 0            0 SW<  [kswapd0]
   10 0            0 SW<  [mtdblockd]
   12 0            0 SW<  [kpktgend_0]
   22 0          816 S    busybox telnetd -p 9999 
   24 0          816 R    busybox ps 
# 
