# looprun 1.2 stage times (LOOP-3): one row per stage per round, and round 0 is S2/S3, which run once.
# start_mono/end_mono are absolute time.monotonic(), CLOCK_MONOTONIC on this host (SPEC.md FW-114) -- the clock console-capture stamps its reads on -- so a row lines up with a capture whose origin is recorded.
# seconds = end_mono - start_mono.  rc is the command's exit status, empty for the in-process S5c and S8 and for a skipped stage.  result is ok, FAIL and the ids of the assertions that failed, or skipped.
# cell=P1L attempt=1 iterations=3 skip=S2,S3,S4 boot-until='job control turned off[^#]{1,2}# ' boot-seconds=45
round	stage	name	kind	start_mono	end_mono	seconds	rc	result
0	S2	build	desk					skipped
0	S3	assemble	desk					skipped
1	S4	reset	bench					skipped
1	S5	rescue	bench	2807.517533	2807.785082	0.267549	0	ok
1	S5b	burnflag	bench	2807.790106	2809.995984	2.205879	0	ok
1	S5c	hostlink	bench	2810.003790	2811.010063	1.006272		ok
1	S6	upload	bench	2811.016518	2812.977659	1.961141	0	ok
1	S6b	staged	bench	2812.981039	2815.187978	2.206939	0	ok
1	S7	boot	bench	2815.196467	2827.739703	12.543236	0	ok
1	S8	assert	desk	2827.749062	2827.749107	0.000045		ok
2	S4	reset	bench	2827.752697	2830.379184	2.626487	0	ok
2	S5	rescue	bench	2830.386142	2830.628644	0.242502	0	ok
2	S5b	burnflag	bench	2830.636275	2832.841356	2.205081	0	ok
2	S5c	hostlink	bench	2832.849813	2833.855579	1.005766		ok
2	S6	upload	bench	2833.864470	2836.017762	2.153292	0	ok
2	S6b	staged	bench	2836.022206	2838.238526	2.216320	0	ok
2	S7	boot	bench	2838.246448	2850.794208	12.547760	0	ok
2	S8	assert	desk	2850.802082	2850.802127	0.000045		ok
3	S4	reset	bench	2850.806048	2853.422177	2.616129	0	ok
3	S5	rescue	bench	2853.430076	2853.684180	0.254103	0	ok
3	S5b	burnflag	bench	2853.692210	2855.911091	2.218881	0	ok
3	S5c	hostlink	bench	2855.919236	2856.923878	1.004642		ok
3	S6	upload	bench	2856.931069	2858.960540	2.029471	0	ok
3	S6b	staged	bench	2858.967025	2861.186315	2.219290	0	ok
3	S7	boot	bench	2861.194423	2873.765669	12.571246	0	ok
3	S8	assert	desk	2873.775099	2873.775139	0.000040		ok
# status: closed -- 3 of 3 round(s), every assertion held
