# boot-timeline.py --retro, tool sha256 05dd4a74c349be5e161b44900474dc6b4795186d112456ee39485a59e4214273, paths: bench/2026-09-23
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
loader			cold		bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	loader.booting				1	0.347712											
loader			cold		bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	loader.banner				1	0.572643											
loader			cold		bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	loader.esc				1	5.121936											
loader			cold		bench/2026-09-23	bench/2026-09-23/M2-A.log	loader.booting				1	0.347531											
loader			cold		bench/2026-09-23	bench/2026-09-23/M2-A.log	loader.banner				1	0.572033											
loader			warm		bench/2026-09-23	bench/2026-09-23/M2-BOOT.log	loader.booting				1	0.347327											
loader			warm		bench/2026-09-23	bench/2026-09-23/M2-BOOT.log	loader.banner				1	0.580757											
loader			warm		bench/2026-09-23	bench/2026-09-23/M2-BOOT.log	loader.esc				1	5.102142											
loader			cold		bench/2026-09-23	bench/2026-09-23/P1-A.log	loader.booting				1	0.355722											
loader			cold		bench/2026-09-23	bench/2026-09-23/P1-A.log	loader.banner				1	0.586139											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1-RZ.log	loader.booting				1	0.351015											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1-RZ.log	loader.banner				1	0.587803											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1L-r02-rz.log	loader.booting				1	0.352177											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1L-r02-rz.log	loader.banner				1	0.588975											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1L-r03-rz.log	loader.booting				1	0.352139											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1L-r03-rz.log	loader.banner				1	0.588883											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1Q-r02-rz.log	loader.booting				1	0.350521											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1Q-r02-rz.log	loader.banner				1	0.587734											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1Q-r03-rz.log	loader.booting				1	0.351092											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1Q-r03-rz.log	loader.banner				1	0.589023											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1Q-r04-rz.log	loader.booting				1	0.351610											
loader			warm		bench/2026-09-23	bench/2026-09-23/P1Q-r04-rz.log	loader.banner				1	0.587553											
loader			cold		bench/2026-09-23	bench/2026-09-23/P2-A.log	loader.booting				1	0.347621											
loader			cold		bench/2026-09-23	bench/2026-09-23/P2-A.log	loader.banner				1	0.572666											
loader			warm		bench/2026-09-23	bench/2026-09-23/P2Q-r02-rz.log	loader.booting				1	0.347363											
loader			warm		bench/2026-09-23	bench/2026-09-23/P2Q-r02-rz.log	loader.banner				1	0.582207											
loader			cold		bench/2026-09-23	bench/2026-09-23/P3-A.log	loader.booting				1	0.346239											
loader			cold		bench/2026-09-23	bench/2026-09-23/P3-A.log	loader.banner				1	0.570576											
loader			warm		bench/2026-09-23	bench/2026-09-23/P3Q-r02-rz.log	loader.booting				1	0.347171											
loader			warm		bench/2026-09-23	bench/2026-09-23/P3Q-r02-rz.log	loader.banner				1	0.581185											
loader			cold		bench/2026-09-23	bench/2026-09-23/V1-A.log	loader.booting				1	0.348338											
loader			cold		bench/2026-09-23	bench/2026-09-23/V1-A.log	loader.banner				1	0.573338											
loader			cold		bench/2026-09-23	bench/2026-09-23/V2-A.log	loader.booting				1	0.348163											
loader			cold		bench/2026-09-23	bench/2026-09-23/V2-A.log	loader.banner				1	0.572912											
loader			cold		bench/2026-09-23	bench/2026-09-23/V3-A.log	loader.booting				1	0.348702											
loader			cold		bench/2026-09-23	bench/2026-09-23/V3-A.log	loader.banner				1	0.573108											
loader			cold		bench/2026-09-23	bench/2026-09-23/V4-A.log	loader.booting				1	0.348212											
loader			cold		bench/2026-09-23	bench/2026-09-23/V4-A.log	loader.banner				1	0.572387											
loader			warm		bench/2026-09-23	bench/2026-09-23/V4-WZ.log	loader.booting				1	0.345333											
loader			warm		bench/2026-09-23	bench/2026-09-23/V4-WZ.log	loader.banner				1	0.578614											
loader			cold		bench/2026-09-23	bench/2026-09-23/V5-A.log	loader.booting				1	0.343924											
loader			cold		bench/2026-09-23	bench/2026-09-23/V5-A.log	loader.banner				1	0.566361											
loader			warm		bench/2026-09-23	bench/2026-09-23/V5-WZ.log	loader.booting				1	0.346812											
loader			warm		bench/2026-09-23	bench/2026-09-23/V5-WZ.log	loader.banner				1	0.581304											
loader			cold		bench/2026-09-23	bench/2026-09-23/V6-A.log	loader.booting				1	0.348645											
loader			cold		bench/2026-09-23	bench/2026-09-23/V6-A.log	loader.banner				1	0.573193											
loader			warm		bench/2026-09-23	bench/2026-09-23/V6-WZ.log	loader.booting				1	0.347425											
loader			warm		bench/2026-09-23	bench/2026-09-23/V6-WZ.log	loader.banner				1	0.582232											
loader			cold		bench/2026-09-23	bench/2026-09-23/V7-A.log	loader.booting				1	0.346918											
loader			cold		bench/2026-09-23	bench/2026-09-23/V7-A.log	loader.banner				1	0.571129											
loader			warm		bench/2026-09-23	bench/2026-09-23/V7-WZ.log	loader.booting				1	0.341474											
loader			warm		bench/2026-09-23	bench/2026-09-23/V7-WZ.log	loader.banner				1	0.572747											
cell	loader		cold	pooled			loader.booting	booting	chipname	identical	12		0.347938	0.343924	0.355722								
cell	loader		warm	pooled			loader.booting	booting	chipname	identical	13		0.347425	0.341474	0.352177								
cell	loader		?	pooled			loader.booting	booting	chipname	identical	0												
cell	loader		cold	pooled			loader.banner	booting	banner	identical	12		0.572654	0.566361	0.586139								
cell	loader		warm	pooled			loader.banner	booting	banner	identical	13		0.582232	0.572747	0.589023								
cell	loader		?	pooled			loader.banner	booting	banner	identical	0												
cell	loader		cold	pooled			loader.esc	banner	autoboot	identical	1		5.121936	5.121936	5.121936								
cell	loader		warm	pooled			loader.esc	banner	autoboot	identical	1		5.102142	5.102142	5.102142								
cell	loader		?	pooled			loader.esc	banner	autoboot	identical	0												
cell	vendor	-	cold	pooled			rtkload.decompress	decomp	decomp_done	comparable	4		1.037063	1.036748	1.038023								
cell	vendor	-	warm	pooled			rtkload.decompress	decomp	decomp_done	comparable	5		1.033709	1.026900	1.034137								
cell	vendor	-	?	pooled			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	vendor	-	cold	pooled			rtkload.total	jump	kentry	comparable	4		1.051220	1.048721	1.054713								
cell	vendor	-	warm	pooled			rtkload.total	jump	kentry	comparable	5		1.044943	1.039828	1.049544								
cell	vendor	-	?	pooled			rtkload.total	jump	kentry	comparable	0												
cell	vendor	-	cold	pooled			kernel.early	kentry	wlan	comparable	4		0.651945	0.651499	0.652501								
cell	vendor	-	warm	pooled			kernel.early	kentry	wlan	comparable	5		0.650366	0.646594	0.650658								
