# looprun 1.3 stage times (LOOP-3): one row per stage per round, and round 0 is S2/S3, which run once.
# start_raw/end_raw: absolute CLOCK_MONOTONIC_RAW, the clock console-capture 1.5 stamps on (1.2 wrote start_mono/end_mono, CLOCK_MONOTONIC: CLK-38).
# seconds = end_raw - start_raw.  rc is the command's exit status, empty for the in-process S5c, S8 and S9 and for a skipped stage.  result is ok, FAIL and the ids of the assertions that failed, or skipped.
# cell=P1L attempt=1 iterations=3 skip=S2,S3,S4 boot-until='job control turned off[^#]{1,2}# ' boot-seconds=45 dwell-seconds=2.5
# clock=CLOCK_MONOTONIC_RAW boot_id=ef62493d-746f-4d68-8a64-8fb9717bc6cb clocksource=tsc start_raw=3003.353359 mono_at_start=2989.767290 start_real=1790267359.283502
round	stage	name	kind	start_raw	end_raw	seconds	rc	result
0	S2	build	desk					skipped
0	S3	assemble	desk					skipped
1	S4	reset	bench					skipped
1	S5	rescue	bench	3003.372540	3003.674883	0.302342	0	ok
1	S5b	burnflag	bench	3003.680121	3005.902412	2.222291	0	ok
1	S5c	hostlink	bench	3005.911860	3006.918018	1.006158		ok
1	S6	upload	bench	3006.926341	3009.064156	2.137815	0	ok
1	S6b	staged	bench	3009.067732	3011.273564	2.205831	0	ok
1	S7	boot	bench	3011.278880	3023.982204	12.703324	0	ok
1	S8	assert	desk	3023.990549	3023.990592	0.000043		ok
1	S9	dwell	bench	3023.993889	3026.482401	2.488512		ok
2	S4	reset	bench	3026.488865	3029.187722	2.698856	0	ok
2	S5	rescue	bench	3029.196016	3029.430965	0.234949	0	ok
2	S5b	burnflag	bench	3029.436968	3031.599253	2.162285	0	ok
2	S5c	hostlink	bench	3031.606731	3032.614025	1.007294		ok
2	S6	upload	bench	3032.625183	3034.601437	1.976254	0	ok
2	S6b	staged	bench	3034.605753	3036.822376	2.216623	0	ok
2	S7	boot	bench	3036.831573	3049.560761	12.729189	0	ok
2	S8	assert	desk	3049.572495	3049.572539	0.000044		ok
2	S9	dwell	bench	3049.575667	3052.061262	2.485595		ok
3	S4	reset	bench	3052.072969	3054.739548	2.666579	0	ok
3	S5	rescue	bench	3054.748530	3054.994981	0.246452	0	ok
3	S5b	burnflag	bench	3055.000794	3057.170622	2.169828	0	ok
3	S5c	hostlink	bench	3057.179125	3058.187050	1.007925		ok
3	S6	upload	bench	3058.200085	3060.153931	1.953846	0	ok
3	S6b	staged	bench	3060.157430	3062.377800	2.220371	0	ok
3	S7	boot	bench	3062.386745	3075.119813	12.733068	0	ok
3	S8	assert	desk	3075.130121	3075.130163	0.000042		ok
3	S9	dwell	bench	3075.133512	3077.620010	2.486498		ok
# end: end_raw=3077.624770 mono_at_end=3064.042066 end_real=1790267433.558278 clocksource_end=tsc
# status: closed -- 3 of 3 round(s), every assertion held
