# looprun 1.3 stage times (LOOP-3): one row per stage per round, and round 0 is S2/S3, which run once.
# start_raw/end_raw: absolute CLOCK_MONOTONIC_RAW, the clock console-capture 1.5 stamps on (1.2 wrote start_mono/end_mono, CLOCK_MONOTONIC: CLK-38).
# seconds = end_raw - start_raw.  rc is the command's exit status, empty for the in-process S5c, S8 and S9 and for a skipped stage.  result is ok, FAIL and the ids of the assertions that failed, or skipped.
# cell=P1Q attempt=1 iterations=4 skip=S2,S3,S4 boot-until='job control turned off[^#]{1,2}# ' boot-seconds=45 dwell-seconds=2.5
# clock=CLOCK_MONOTONIC_RAW boot_id=ef62493d-746f-4d68-8a64-8fb9717bc6cb clocksource=tsc start_raw=3080.454341 mono_at_start=3066.871765 start_real=1790267436.387978
round	stage	name	kind	start_raw	end_raw	seconds	rc	result
0	S2	build	desk					skipped
0	S3	assemble	desk					skipped
1	S4	reset	bench					skipped
1	S5	rescue	bench	3080.468516	3080.713893	0.245378	0	ok
1	S5b	burnflag	bench	3080.720179	3082.935965	2.215786	0	ok
1	S5c	hostlink	bench	3082.946230	3083.953148	1.006919		ok
1	S6	upload	bench	3083.960478	3085.988158	2.027680	0	ok
1	S6b	staged	bench	3085.992091	3088.194446	2.202355	0	ok
1	S7	boot	bench	3088.201402	3099.188456	10.987054	0	ok
1	S8	assert	desk	3099.196647	3099.196681	0.000034		ok
1	S9	dwell	bench	3099.199723	3101.688785	2.489062		ok
2	S4	reset	bench	3101.696140	3104.353177	2.657037	0	ok
2	S5	rescue	bench	3104.362390	3104.606875	0.244485	0	ok
2	S5b	burnflag	bench	3104.612916	3106.785295	2.172379	0	ok
2	S5c	hostlink	bench	3106.793836	3107.798481	1.004645		ok
2	S6	upload	bench	3107.805469	3109.711911	1.906442	0	ok
2	S6b	staged	bench	3109.715306	3111.916033	2.200727	0	ok
2	S7	boot	bench	3111.924135	3122.912535	10.988400	0	ok
2	S8	assert	desk	3122.924424	3122.924455	0.000031		ok
2	S9	dwell	bench	3122.928028	3125.412651	2.484623		ok
3	S4	reset	bench	3125.418814	3128.102561	2.683746	0	ok
3	S5	rescue	bench	3128.110645	3128.367868	0.257223	0	ok
3	S5b	burnflag	bench	3128.371693	3130.574119	2.202426	0	ok
3	S5c	hostlink	bench	3130.579689	3131.584530	1.004841		ok
3	S6	upload	bench	3131.589940	3133.599522	2.009583	0	ok
3	S6b	staged	bench	3133.603121	3135.804756	2.201636	0	ok
3	S7	boot	bench	3135.813026	3146.791443	10.978417	0	ok
3	S8	assert	desk	3146.799658	3146.799688	0.000031		ok
3	S9	dwell	bench	3146.803002	3149.291586	2.488584		ok
4	S4	reset	bench	3149.296245	3151.932902	2.636657	0	ok
4	S5	rescue	bench	3151.938148	3152.181056	0.242908	0	ok
4	S5b	burnflag	bench	3152.185213	3154.386064	2.200851	0	ok
4	S5c	hostlink	bench	3154.391358	3155.395776	1.004418		ok
4	S6	upload	bench	3155.400852	3157.373249	1.972397	0	ok
4	S6b	staged	bench	3157.376760	3159.574355	2.197595	0	ok
4	S7	boot	bench	3159.581332	3170.558255	10.976923	0	ok
4	S8	assert	desk	3170.567145	3170.567175	0.000030		ok
4	S9	dwell	bench	3170.570413	3173.058582	2.488168		ok
# end: end_raw=3173.063964 mono_at_end=3159.485602 end_real=1790267529.001815 clocksource_end=tsc
# status: closed -- 4 of 4 round(s), every assertion held
