# boot-timeline.py --retro, tool sha256 a541392a0ffe7216f176f5f50995cc6eac0bcc4a384aa407a082037d5219ec7c, paths: bench/2026-09-25
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
loader			cold		bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	loader.booting				1	0.351504											
loader			cold		bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	loader.banner				1	0.581514											
loader			cold		bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	loader.esc				1	5.238773											
loader			cold		bench/2026-09-25	bench/2026-09-25/M2-A.log	loader.booting				1	0.356084											
loader			cold		bench/2026-09-25	bench/2026-09-25/M2-A.log	loader.banner				1	0.586178											
loader			warm		bench/2026-09-25	bench/2026-09-25/M2-BOOT.log	loader.booting				1	0.356390											
loader			warm		bench/2026-09-25	bench/2026-09-25/M2-BOOT.log	loader.banner				1	0.597166											
loader			warm		bench/2026-09-25	bench/2026-09-25/M2-BOOT.log	loader.esc				1	5.237828											
loader			cold		bench/2026-09-25	bench/2026-09-25/P1-A.log	loader.booting				1	0.356068											
loader			cold		bench/2026-09-25	bench/2026-09-25/P1-A.log	loader.banner				1	0.586094											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1-RZ.log	loader.booting				1	0.356981											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1-RZ.log	loader.banner				1	0.596783											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1L-r02-rz.log	loader.booting				1	0.356068											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1L-r02-rz.log	loader.banner				1	0.597136											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1L-r03-rz.log	loader.booting				1	0.355713											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1L-r03-rz.log	loader.banner				1	0.596019											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1Q-r02-rz.log	loader.booting				1	0.356155											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1Q-r02-rz.log	loader.banner				1	0.596997											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1Q-r03-rz.log	loader.booting				1	0.356140											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1Q-r03-rz.log	loader.banner				1	0.596998											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1Q-r04-rz.log	loader.booting				1	0.355694											
loader			warm		bench/2026-09-25	bench/2026-09-25/P1Q-r04-rz.log	loader.banner				1	0.595915											
loader			cold		bench/2026-09-25	bench/2026-09-25/P2-A.log	loader.booting				1	0.355626											
loader			cold		bench/2026-09-25	bench/2026-09-25/P2-A.log	loader.banner				1	0.585971											
loader			warm		bench/2026-09-25	bench/2026-09-25/P2Q-r02-rz.log	loader.booting				1	0.355917											
loader			warm		bench/2026-09-25	bench/2026-09-25/P2Q-r02-rz.log	loader.banner				1	0.596842											
loader			cold		bench/2026-09-25	bench/2026-09-25/P3-A.log	loader.booting				1	0.356327											
loader			cold		bench/2026-09-25	bench/2026-09-25/P3-A.log	loader.banner				1	0.585824											
loader			warm		bench/2026-09-25	bench/2026-09-25/P3Q-r02-rz.log	loader.booting				1	0.355717											
loader			warm		bench/2026-09-25	bench/2026-09-25/P3Q-r02-rz.log	loader.banner				1	0.595782											
loader			cold		bench/2026-09-25	bench/2026-09-25/V1-A.log	loader.booting				1	0.355328											
loader			cold		bench/2026-09-25	bench/2026-09-25/V1-A.log	loader.banner				1	0.584979											
loader			cold		bench/2026-09-25	bench/2026-09-25/V2-A.log	loader.booting				1	0.355855											
loader			cold		bench/2026-09-25	bench/2026-09-25/V2-A.log	loader.banner				1	0.586138											
