tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on enxfc19286184c9, link-type EN10MB (Ethernet), snapshot length 262144 bytes
1790277782.592525 ARP, Request who-has 10.1.1.3 tell 10.1.1.2, length 28
1790277782.593806 ARP, Reply 10.1.1.3 is-at 02:52:4c:58:46:57, length 46
1790277782.593831 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 1, length 64
1790277782.595029 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 1, length 64
1790277782.643714 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 2, length 64
1790277782.646271 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 2, length 64
1790277782.694598 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 3, length 64
1790277782.697626 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 3, length 64
1790277782.744944 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 4, length 64
1790277782.746297 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 4, length 64
1790277782.795468 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 5, length 64
1790277782.796868 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 5, length 64
1790277782.846149 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 6, length 64
1790277782.847255 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 6, length 64
1790277782.896445 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 7, length 64
1790277782.897634 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 7, length 64
1790277782.946794 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 8, length 64
1790277782.948170 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 8, length 64
1790277782.997553 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 9, length 64
1790277782.999120 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 9, length 64
1790277783.048349 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 10, length 64
1790277783.049423 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 10, length 64
1790277783.098708 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 11, length 64
1790277783.099731 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 11, length 64
1790277783.149080 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 12, length 64
1790277783.150575 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 12, length 64
1790277783.200117 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 13, length 64
1790277783.201441 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 13, length 64
1790277783.250814 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 14, length 64
1790277783.252465 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 14, length 64
1790277783.301757 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24903, seq 15, length 64
1790277783.303355 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24903, seq 15, length 64
