# looprun 1.3 stage times (LOOP-3): one row per stage per round, and round 0 is S2/S3, which run once.
# start_raw/end_raw: absolute CLOCK_MONOTONIC_RAW, the clock console-capture 1.5 stamps on (1.2 wrote start_mono/end_mono, CLOCK_MONOTONIC: CLK-38).
# seconds = end_raw - start_raw.  rc is the command's exit status, empty for the in-process S5c, S8 and S9 and for a skipped stage.  result is ok, FAIL and the ids of the assertions that failed, or skipped.
# cell=D1Q attempt=1 iterations=1 skip=S2,S3,S4 boot-until='job control turned off[^#]{1,2}# ' boot-seconds=45 dwell-seconds=2.5
# clock=CLOCK_MONOTONIC_RAW boot_id=ef62493d-746f-4d68-8a64-8fb9717bc6cb clocksource=tsc start_raw=13372.217213 mono_at_start=13330.842974 start_real=1790277728.727749
round	stage	name	kind	start_raw	end_raw	seconds	rc	result
0	S2	build	desk					skipped
0	S3	assemble	desk					skipped
1	S4	reset	bench					skipped
1	S5	rescue	bench	13372.231119	13372.474304	0.243186	0	ok
1	S5b	burnflag	bench	13372.480928	13374.672074	2.191146	0	ok
1	S5c	hostlink	bench	13374.679664	13375.792189	1.112526		ok
1	S6	upload	bench	13375.799522	13377.682039	1.882516	0	ok
1	S6b	staged	bench	13377.685657	13379.871338	2.185680	0	ok
1	S7	boot	bench	13379.879692	13390.847647	10.967955	0	ok
1	S8	assert	desk	13390.856035	13390.856068	0.000033		ok
1	S9	dwell	bench	13390.859055	13393.348379	2.489323		ok
# end: end_raw=13393.354629 mono_at_end=13351.337081 end_real=1790277749.221856 clocksource_end=tsc
# status: closed -- 1 of 1 round(s), every assertion held
