# looprun 1.3 stage times (LOOP-3): one row per stage per round, and round 0 is S2/S3, which run once.
# start_raw/end_raw: absolute CLOCK_MONOTONIC_RAW, the clock console-capture 1.5 stamps on (1.2 wrote start_mono/end_mono, CLOCK_MONOTONIC: CLK-38).
# seconds = end_raw - start_raw.  rc is the command's exit status, empty for the in-process S5c, S8 and S9 and for a skipped stage.  result is ok, FAIL and the ids of the assertions that failed, or skipped.
# cell=R1Q attempt=1 iterations=1 skip=S2,S3,S4 boot-until='job control turned off[^#]{1,2}# ' boot-seconds=45 dwell-seconds=2.5
# clock=CLOCK_MONOTONIC_RAW boot_id=e895e4cf-dbb3-4c2a-abcd-ecdeda79d0b7 clocksource=tsc start_raw=299.673600 mono_at_start=299.781223 start_real=1790400981.500607
round	stage	name	kind	start_raw	end_raw	seconds	rc	result
0	S2	build	desk					skipped
0	S3	assemble	desk					skipped
1	S4	reset	bench					skipped
1	S5	rescue	bench	299.686794	299.933426	0.246632	0	ok
1	S5b	burnflag	bench	299.940021	302.153227	2.213206	0	ok
1	S5c	hostlink	bench	302.164999	303.168851	1.003852		ok
1	S6	upload	bench	303.177487	305.062014	1.884527	0	ok
1	S6b	staged	bench	305.065512	307.269610	2.204099	0	ok
1	S7	boot	bench	307.277151	318.273102	10.995951	0	ok
1	S8	assert	desk	318.283249	318.283282	0.000033		ok
1	S9	dwell	bench	318.286583	320.773457	2.486874		ok
# end: end_raw=320.780154 mono_at_end=320.857409 end_real=1790401002.576793 clocksource_end=tsc
# status: closed -- 1 of 1 round(s), every assertion held
