id	family	class	kind	stable	load_bearing	A_raw_median	A_corr_median	B_n	B_median	a	b	c_raw	c_corr	verdict	edge	closing_rule	S1_verdict	S2_verdict	agreement
SEG|loader|-|cold|loader.booting	SEG	cold	board	Y	Y	0.347938	0.355962	12	0.355865	+0.022783	-0.000273	-0.002021	-0.000545	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|loader|-|cold|loader.banner	SEG	cold	board	Y	Y	0.572655	0.586127	12	0.585964	+0.023241	-0.000278	-0.001574	-0.000550	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|loader|-|cold|loader.esc	SEG	cold	board	N	Y	5.121936	5.237582	1	5.238773	+0.022811	+0.000227	-0.001994	-0.000045	N: inside		not stable: scored, decides nothing	N: inside	N: scored, no verdict (inside +-10 %)	S1 same/num-same S2 same/num-same
SEG|loader|-|warm|loader.booting	SEG	warm	board	Y	Y	0.347425	0.355963	13	0.356060	+0.024854	+0.000273	+0.000000	+0.000000	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|loader|-|warm|loader.banner	SEG	warm	board	Y	Y	0.582232	0.596025	13	0.596023	+0.023686	-0.000003	-0.001140	-0.000276	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|loader|-|warm|loader.esc	SEG	warm	board	N	Y	5.102142	5.237048	1	5.237828	+0.026594	+0.000149	+0.001697	-0.000124	N: inside		not stable: scored, decides nothing	N: inside	N: scored, no verdict (inside +-10 %)	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|rtkload.decompress	SEG	cold	board	Y	Y	1.231281	1.248637	1	1.248109	+0.013667	-0.000423	-0.010916	-0.000695	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|rtkload.total	SEG	cold	board	Y	Y	1.246918	1.264494	1	1.260637	+0.011002	-0.003050	-0.013516	-0.003322	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|kernel.early	SEG	cold	board	Y	Y	1.505786	1.527011	1	1.523894	+0.012026	-0.002041	-0.012518	-0.002313	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|kernel.wlan	SEG	cold	board	Y	Y	5.140987	5.213454	1	5.207950	+0.013025	-0.001056	-0.011542	-0.001328	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|kernel.nic	SEG	cold	board	Y	Y	1.224543	1.241804	1	1.240909	+0.013365	-0.000721	-0.011211	-0.000993	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|kernel.late	SEG	cold	board	Y	Y	3.140063	3.184325	1	3.182861	+0.013630	-0.000460	-0.010952	-0.000732	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|kernel.total	SEG	cold	board	Y	Y	11.011379	11.166595	1	11.155614	+0.013099	-0.000983	-0.011470	-0.001256	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|rlxfw.setup	SEG	cold	board	Y	Y	0.275227	0.279107	1	0.293701	+0.067123	+0.052288	+0.041243	+0.052002	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|rlxfw.initpost	SEG	cold	board	N	Y	0.012049	0.012219	1	0.011702	-0.028799	-0.042311	-0.052352	-0.042572	N: inside		not stable: scored, decides nothing	N: inside	N: scored, no verdict (inside +-10 %)	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|user.ready	SEG	cold	board	Y	Y	0.116240	0.117879	1	0.118239	+0.017197	+0.003054	-0.007471	+0.002781	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
SEG|rlxfw|loud|cold|boot.jump_to_ready	SEG	cold	board	Y	Y	12.374537	12.548968	1	12.534490	+0.012926	-0.001154	-0.011639	-0.001426	HIT		reproduced	HIT	stable HIT	S1 same/num-same S2 same/num-same
